name,twitter handle,id,followers,bio,influence score
Kreia,_Darth_Traya,417610188,314,"《Sith▪Fire&Blood▪Slytherin▪🏳️‍🌈》
■En este perfil hay mas Toypics que selfies■",25
Alejandro Hurtado,jalejandrohd,157187265,342,"Politico liberal, administrador de empresa e informático, amante de la libertad y luchador por Nicaragua",25
isa,IsayanaMel,3273417758,378,,25
vivaleon2.0,0Vivaleon2,1116070072848719872,1513,"Mi nueva cuenta
@vivaleon1 me la bloquearon
Nicaraguense por gracias de Dios Luchando por una patria libre Fuera la dictadura",25
NicaReal,realsennin,292452790,575,"Un engrane mas de este inmenso proyecto, que Dios dejo en el mundo!!!",25
Polo G Escobar 🇳🇮,PoloGEscobar,111987163,584,"Ciudadano pro Vida, Libertad y  Derechos Humanos.",25
Werner I. Vargas Torres,WernerVargas72,138100367,680,"Abogado y Notario.
Consultor internacional. 
Coach ontológico certificado
Especialista en derechos humanos y derecho internacional
#wernercoach",25
Wonder Woman 👸🏻🦸🏻‍♀️,justlales12,456302854,928,CNSR 11'- UCA 17' 🎓 Graphic Designer 👩🏻‍💻God only knows 🙏🏻💛 Maya 💕🐶,25
Tatiana,tatianaamadr,830929347984900102,282,🇳🇮,24
Emmanuel Medrano,1993Medrano,330810564,543,,24
La Taraila,Tarailaa,249535479,268,"🔊  ¡Nos están matando! 
#SOSNICARAGUA",24
Karen,Karen_0s,336794939,362,Que lindo decir tu nombre Nicaragua 🇳🇮,24
𝓜𝓗✨,HillMarcela,2222235067,734,,24
nicaloko18,nicaloko18,1004116720523579392,180,Nicaragua,24
Tsaul,saulfire,881806960257052675,76,,24
Byron Gaitan,byrongaitanp,246871999,180,"Ing. computación, melomano, deportista y músico super amateur.. .no puedo disimular.",24
Flowers,Flowers_Nic,871518181462085633,184,"I can handle the truth.

I am one with force and the force is with me.

Say my name.

🇳🇮",24
Guillermo Jarquín,memo_garcia6,123158353,306,"Realmente te sientes mejor? O sólo te has acostumbrado? 
Soñador, amante de la poesía, coleccionista de canciones, recuerdos, luces y sombras.",24
ERICK RUIZ,erickruizrojas,74768702,485,"Fotografía, comida, deportes, películas, nuevas patentes a registrar.

Un soñador, luchador, perdido en la imaginación.",24
Purga,thetrueisreal,1053457686153650176,136,"Por aquí buscando sapos ciegos y peligrosos. Ama a tu patria. Monarquía cero ,el pueblo primero.",24
B,bjcasrodd,855098156,614,"🇳🇮 👷🏻‍♂️
Hurry up, we're dreaming",24
Candy Candy 🇳🇮,elidoubleT,262455202,341,"Lic. En Banca Y Finanzas, Upoliana. Felizmente casada 👨‍👩‍👦‍👦
Quiero una Nicaragua libre de Dictaduras
Leer nos hará libre.",24
Shery,Shery_GC,3852086740,104,Amante del fútbol sala @InterMovistar Rossonera @acmilan Peña Oficial AC Milan en Madrid @milanclubmadrid,23
Azul y Blanco,JCzon,218761984,152,"🇳🇮 Ni de derecha, ni de izquierda. De Fe pero no practicante. No soy idealista, ni romantizo situaciones.

En resumen: Tengo criterio.",23
Martha Lorena,marthalorena,22833164,208,Amante de la verdad y la justicia.,23
Pronto muy pronto va a ser Libre mi Nicaragua,popol_vuh69,883479467880067072,74,Mejor morir luchando por la libertad que ser preso todos los días de tu vida.,23
Chepe 🦥,Jaher97,259767668,143,,23
jose 路易,jmzCrNic,199819863,332,,23
Bayardo Anduray,cheleanduray,630745859,756,Joven de corazón...,23
Isabela Chamorro,cafeconleche90s,197513193,444,•Agricultural and Livestock Engineer• Nicaragua Libre 🇳🇮• TX🇺🇸• OWN IT • I NEVER LOSE. EITHER I WIN OR I LEARN.•,23
Rolando Bermúdez,Rolando_FBB,161776322,537,,23
Luis Méndez III,luismendez_offi,2651422016,1083,"Follow me and I follow you in IG: http://Instagram.com/luismendez_offi 👤
¡Dios en cada propósito!🙏❤",23
Loquillo,es16navalop,3423417520,412,"Fisioterapeuta,
Scout,
Amigo,
Vibras Positivas,🏳️‍🌈🇳🇮 
Sígueme y te sigó 🤗",23
JMatamoros,IMatamoros_18,236425688,250,💪🏻🇳🇮,23
KOST,KOSTDJ,85750058,825,🔺 Producción Audiovisual 🔻  Follow instagram @KOSTDJ 🎦 📶 💯 🔺🎬🔊📷📺🍕,23
Jorbin Pineda,jorbin_pineda,835211993304842240,129,Ya me tomé 3 tazas de café y aún no se me quita el sueño. Sí ese sueño de tener mucho dinero y no tener que trabajar nunca más.,23
Cosmonauta,Morlei_,2328170839,583,https://www.instagram.com/silvio_leiva/?hl=es-la,23
Alexander Morales,ralexmorales,301022010,379,,23
Fernanda Thompson,fer12_thompson,598794223,795,S'17 🎓,23
Энгель Лопес,enghel_lopez,2827602185,809,Студент-юрист,23
Kevin,el_pateperro,386936877,445,🇳🇮,23
Sara Latino 🌼,Soy_Ojeda,559875442,522,By grace through faith ❤️,23
#SeVan,Nica_pami,2184041884,390,“El que no quiere a su patria no quiere a su madre” 🇳🇮❤️,23
Mr. CatMan,IamCatman_,531857804,283,"Nicaragüense, SW Developer, Runner aficionado (maratonista), cinéfilo y seriéfilo en tiempos libres. Fanático de los deportes y amante de los animales! 😼.📚 📖",23
eternal sunshine✨,sunkissedhm,575009428,607,"|Ni una menos, ni una MÁS. #SeVaACaer💜✊🏼| | IG: hollymna| me gradué perros",22
RiveraNica,RiveraNica0816,1005949584852639744,193,"¡Ay Nicaragua, Nicaraguita!
Fuerza🇻🇪🇨🇺🇨🇴🇧🇴#SeremosLibres Justicia, Libertad y Democracia.
Nicaragua Volverá A Ser República #Juntos🌎",22
valezka,vrnjg,359780124,540,joy as an act of resistance,22
kaliman,julionicoya1,114886987,153,Bendita Nicaragua,22
David,Davidpala02,1103353642730602502,524,|Nic| 🇳🇮,22
reiju,SugaDan_,4421401280,211,wup,22
La Lila,soypicorojonic,183424860,305,Salmo 23 🙏,22
Marcia Sobalvarro,MarciaCiud,985831933,546,"Lic. en Relaciones Internacionales | Liberal | Presidente Dptal. @CxLibertad, Managua | Por una #ManaguaCiudadana | ¡Adelante Ciudadanos! 🇳🇮",22
Kike,kike01516,1016731163682136066,182,,22
Ale,ale0camp0,779173517229191168,74,,22
Eridania Mercado (un día 🎶 🗓️),eriabdielamer,806638817893613569,124,Soy Eridania pertenezco a la  #lafamila_rd Vice_presidenta de @jbalvin_RD vivo en  Rio San Juan MTZ RD 😍😎😍 y Soy Balvibista de corazon,22
𝕻𝖆𝖙𝖗𝖎𝖈𝖎𝖆 シ︎,_Patry_0,1006799397483622402,125,Nic🇳🇮 /🤎✝️🇻🇦,22
Francisco Vijil,franciscovijil,90516099,144,,22
Alvaro Chamorro,AlvaroCh00,959467755794821120,273,Que Dios me cuide pero no me guarde,22
💀✨skinny legend✨💀,idk_nathan,1079181131549941760,327,"✨🪐I'm attractive 
I get everything I want 'cause I attract it ✨🪐
♌♌♌♌♌♌♌♌™",22
PAIZ,Paiz011,2864882603,437,Vos sabes quien soy,22
Boquín,CsarBoqun,595615451,549,Comunicador Social,22
Bin topic,Bintopic,996576701906849793,190,"economista, ingeniero, justicia, la verdad, el buen futuro, el trabajo duro como apoyo social. lo difícil se hace y lo imposible se intenta",22
Graciela Tablada,mulant34,2895400294,216,♎️,22
Jose Salasblanca,JoseSalasblanca,77412441,246,,22
La Salamandra,_La_Salamandra_,987508655447830528,162,"Anfibio vandálica narco-pandillera-derechista, destructora de chayopalos. #sosnicaragua",22
letticia,letticia_210,720065762853957632,493,,22
Stereo Romance,stereoromance,145072115,659,Medio de comunicación radial y digital. 105.3fm #Carazo #Nicaragua http://www.stereo-romance.com,21
Joseph,wilcito2247,2792537355,471,alegre. amistoso . positivo,21
Monimboseña,SoyVandalica,1020407540411174919,85,"Adelante Monimbó, nadie detendrá jamás esa fuerza incontenible de valor y dignidad. Estaré siempre con vos. 🇳🇮",21
Abril,AbrilLopez21,1265483336,141,**Tu es la chanson que j'entends dans ma tête depuis notre première rencontre**,21
valergaber,valergaber,942568325548335104,130,,21
M.Rosales 😎,m_rosales7,2169216570,227,"Baloncesto 🏀👈
Lic. administración de empresa en proceso 💪💪
✌
Estudia en : UNICIT 👏",21
❃ʀᴏxᴀɴɴᴀ ᴡʜɪᴛᴇ❃,whiteKings_,771131304154836992,554,"✻Ｋｙｌｉａｎ✻
₃₀.₁₂.₁₈❤",21
NAHARA,adalescka,842415482,371,,21
Tayron Portillo,TayronPortillo,485845170,45,"Outsourcing, Software Development, Professional Services, Java Developer, PHP Developer, Project Manager, Entrepreneur and others.",21
Javier Lira,JLiracomunica,309966861,512,"Comunicador Social: Mi carrera está construida sobre palabras; decirlas, escribirlas y leerlas.- Liderazgo y Crecimiento Personal",21
Hipercortisolemia,LiisN0,1106407512214044672,230,"Dale una luz a este pueblo que ama tanto vivir en Nicaragua🙏🇳🇮💙
Coordinadora Nacional para Nicaragua- EsLibertad  2021-2022💛🖤",21
Libertad!!!!!,bumblesofreedom,825799470256443394,96,,21
Fabio,fabz969,494522617,990,♏,21
Itzel Zeledon,Queen_Architect,2802276408,257,•Iconic•,21
Denisse Sevilla,Lasevillita87,390892521,257,"""Amar la trama más que el desenlace"".",21
Nohemi Cruz Andino López,andino_nohemi,1008792798106193924,229,"Y como dijo la abuela, hay que aprender a escucharnos, en #Nicaragua hay amor amor amor hay tanto amooor 🇳🇮 ❤🖤 🕊 #NicaraguaQuierePaz",21
Flor de Luna,FlorenciaUS27,3052134239,39,Descubriendo mi pasión!,21
Dayana ❄️,dayalira22,2157051961,528,06-11-2000 ❤️,21
Alejandro Reyes,AlejoPaguaga98,912462102421413888,188,💙💙💙✌,21
𝑨𝒓𝒈𝒆𝒍𝒊𝒕𝒂,argelis_plomo,4827478776,317,"Nosotros iremos hacia el sol de la libertad o hacia la muerte, y si morimos nuestra causa seguirá viviendo, otros nos seguirán. ♥️🖤
#Nicaragua 🇳🇮",21
El Cochi🔻,cochifried,706801146111852545,1577,"Laísta de nacimiento, lolalilo por gusto.",21
Aristides Álvarez,ArisAlvarez,170928064,558,#SOSNICARAGUA,21
@Nicaragua🇳🇮,LPutoy,67457403,143,.,21
Sólo kev. 🇳🇮,vandalico19km,387347069,75,"Estoy soltero antes que se pusiera de moda (Ey)
No creo en el amor desde Amorfoda (No)",21
Martin Alfonso,Xmartin93,3373008611,69,Xstraight edgeX y Vocalista en Rexurgir HC.,20
J. Diego ツ,J_Diego_lopez_J,2484808909,348,💚Salesiano// Azul y Blanco 💙💪//Medicine student's 💊,20
Venom Snake/Big Boss,CadejoBlancoCIA,718126866759041024,62,Pokemon Legendario.,20
Á𝐍𝐆𝐄𝐋 𝐌𝐀𝐋𝐃𝐎𝐍𝐀𝐃𝐎 🇳🇮,minusculo_nica,481203177,252,"""Valora lo que tienes, supera lo que te duele y lucha por lo que quieres"" 𝕮𝖍𝖔𝖓𝖙𝖆𝖑𝖊𝖘 🐄 🐎 𝕹𝖎𝖈𝖆𝖗𝖆𝖌ü𝖊𝖓𝖘𝖊 🇳🇮",20
Mariana AV,marianaav1997,243017302,166,,20
#MaFabiolaE,MaFabiolaE,81775382,320,Anti-status quo. Pro-Vida. Pro-Life. Católica. Catholic. De Derechas. Right-Winger. Respeto y sentido común Respect and common sense. #NicaragüenseXGraciaDeDios,20
Bbbbb👑,BrianaSPM,934833902895681537,185,10/04/2017,20
AngelesCajina🍟,_mdlacm,2730384529,765,,20
Marynette,SoyNogueral,568663734,800,♀️♍ • Nicaragua • Comunicación • Un beso al cielo,20
Verónica ͛🤍,veroysf,1070086093192744960,286,,20
Jessica🌻🦋,lomosaltadooo,784383728294309888,321,,20
Panda,JaimeduartehDe,2937741663,43,"Sociólogo, pedagogo en curso.",20
☻︎ ᴊᴀᴍᴏɴ ʏ ᴘᴀɴ ☻︎ 🧈ᵇᵘᵗᵗᵉʳ,p_moxhi,1045061181961117696,124,"𝑆𝑖 𝑦𝑜 𝑠𝑜𝑦 𝑙𝑎 𝑓𝑢𝑒𝑟𝑧𝑎 𝑑𝑒 𝑎𝑙𝑔𝑢𝑖𝑒𝑛, 𝑠𝑜𝑦 𝑙𝑎 𝑙𝑢𝑧 𝑑𝑒 𝑎𝑙𝑔𝑢𝑖𝑒𝑛
𝐷𝑒𝑠𝑒𝑎𝑟𝑖𝑎 𝑝𝑜𝑑𝑒𝑟 𝑠𝑒𝑟 𝑢𝑛 𝑝𝑒𝑑𝑎𝑧𝑜 𝑑𝑒 𝑝𝑎𝑧☀",20
Andrea,andnrm,1455323378,196,,20
itsme,Nellely_Roman,4330385014,207,spicy aries,20
Monica 🇳🇮♥️,mou_barboza21,3260399365,427,⚾🏐⚽ 👩‍💼,20
shimmy,el_shimmy92,1089745334,449,Comunicador Social,20
Otra Luisamanda,luisamanda,37992142,212,Aun las piezas ya rotas se pueden romper...,20
Victoria,meneslaquit,630659311,495,All I need is the air I breath and a place to rest my head,20
Alexandra Watson,HazelWatson8,247120164,102,Collect moments no things!,20
nacho,put0imbecil,759143201387188228,242,soy concha entro,20
Oddie Fidelio💚👑,SoydeLaPantufla,2684506435,266,"🇳🇮🌟27🌟♐▒ + Hedonista!!▒ 100pre en mi corazon pantu  miss u! ❤▒💚OddiePerroLouco💚 

👻: petuncita07",20
Mother of Dragons🌱,Dracarys1976,1010959864569454592,1329,"Madre de dragones. Carancha al máximo.
Dracarys al covid y a este gobierno también!
Orgullosa de ser 🌱y frenteamplista.
Gracias Tabaré!!! 🌹",19
100% Pire,pire_100,1022149282357501952,50,ing agropecuario,19
El Profesor,ElProfesorNic,1086119368822607872,364,"La educación te hará libre, ten criterio propio. Si pequeña es la Patria, uno grande la sueña. #RubénDarío #VivaNicaraguaLibre",19
Auxiliadora Lopez 💫,08Auxi,729153040083750912,131,🇳🇮,19
de Tapia :) 🇳🇮💕,JeanCarlosCarca,842643187,446,Familia Feliz ♡,19
HARSAN98,harsan98,2950412385,202,"Sometimes I take and place bets, sometimes I sell coins. Whatever it takes to make a living. // Witness of Adam Smith's invisible hand.",19
Toñita,w3ndy92,184552378,75,En Dios confió,19
Michy,mjsandigo,1019331708020289537,54,1 Corinthians 13,19
CésarEsteli,Cesaresteli91,728598141470019584,31,"Saludos desde Esteli, Nicaragua . Fiel a mi ideología y queriendo verdadera justicia, democracia y paz en un país donde no la hay.",19
RodriGo,RodrigoG031165,894158942720458752,64,,19
Ricardo De Leon Borge,leon_borge,1001897761,202,"MSc. en Relaciones Internacionales. docente universitario. consultor en temas de integración, internacionales y de derechos humanos.",19
JODZ7890,JODZ7890,315640121,206,Mis pasiones el fútbol(AC MILAN #TuSeiTuttaLaMiaVita #Azzurri) y la música (#Metalero) no puedo vivir sin ellas,19
Eguzkilore 🏴‍☠️🎗🔻,Truo27742076,1051495920054009856,58,,19
Luis Eduardo Ruiz Gutiérrez,LuisEdu81836785,1054392976301002755,22,"100% Nicaragüense por gracias de Dios ❤❤
100% Azul y Blanco los únicos colores que me representan ❤",19
[Insert ☭],angri_spaniard,747382019219423232,66,"❤️💛💜
Las cosas despacito para que las entienda, gracias. Exvegano y futuro ingeniero. Prozac gang.
ML but Durruti fans are very welcome.",19
SLICHT VM,SLICHTfrank,228458935,77,"Periodista, Diseñador Gráfico, Teólogo, Pintor, Escultor, Guionista y otras hierbas aromáticas...",19
Jordi Palma,jordypalma17,3991674612,174,🇳🇮🇨🇷,18
RPG,Rogerperezgr,230496480,82,,18
Jose Ignacio Aleman,Jose91_bip,125889089,225,#Nicaragüense #Catolico #Medicina #provida #Democracia #LCI #HalaMadrid,18
Marvin Alvarez,comapastor,1017525765443899392,56,"La Libertad de Nicaragua, se logrará , por el amor de su gente por la fuerza que nos une, porque acá no se rinde Nadie",18
María,Claudia49735109,1013179918014910464,43,"Sueño con una Nicaragua libre donde todos podamos tener los mismos derechos, dónde la corrupción sea erradicada. una Nicaragua donde haya justicia. 💖💓",18
Olmar Galeano,Olmar11,249750823,82,"Entre las cosas menos importantes, el futbol es la mas importante!!!!11",18
NAPSKILLZ,pineda_napoleon,720537908533469184,118,,18
Victor Marin,victoriczn,1422511212,33,"Musico, productor y educador.",18
Melvin A. Chow Pasos,melchowpas,133726506,35,"Master en Diseño y Procesos de Manufactura
Ing. Mecánico Especialista en Computadores",18
unnica+,unnica_mas,1020029982482096133,9,Estoy para darle trabajo a la mente💊💻👓📚,18
я думаю 💭,moyanicaragua,1008881831754772480,205,,18
Luis Carlos,SenseiYoda2k15,983240592,319,Natación es todo lo que necesito ✌,18
Ana Steph,anamar1282,294944260,148,🇳🇮 Just trying to make it to tomorrow. I like writing random thoughts as they pop up.,18
Nelson Garcia Campos,Nelsongarcia19C,482193911,121,,18
Martin Tercero🇳🇮,Martin_Tercero1,2764975735,648,HU 23 | Computer Science & Data Analytics Student👨🏽‍💻 | Construyo en el mundo que por años fue el refugio de muchos y hoy es la casa de todos | Liberty,18
Maria Adilia,MariaAdilia10,869234690380759040,260,Maria Zambrana,18
𝐺𝑎𝑏𝑟𝑖𝑒𝑙𝑙𝑎👻,gbby03,885904035437580289,175,𝘚𝘢𝘭𝘮𝘰𝟫𝟣✨,18
Catolicos Nicaragua,CatolicosNi,767391399633227776,74,Católicos Yavé Jesús María José Santos News #Nicaragua,18
mmmkjapi4,Km3god,706561763383365633,19,,18
L-MAPPO,L_MAPPO,541890078,190,L-MAPPO MC de Ticuantepe empezo a escribir sus primeras rimas en el 2005 y de ahi no ha parado buscando como promocionar sus rolas dejando su punto de vista,18
kevin castro,kacav28,501424035,60,,18
Ada Francys,AdaFrancys2,1121596505692024832,602,"Orgullo Bicentenario Unan León, estudiante del @keiseruniversity_lac, certificada en Etiqueta by @Siluhetas Voluntaria Global, Swiftie 
Nicaragua💙",18
Eddy Solís Corea,edsolcor,1341290275,87,Hoy más feliz que ayer,18
Jairo A. Fuertes B.,jfuertesb,4895804305,44,"Salmo 15(16), 1 ن",17
Timmy Turner,jairo22quezada,4837631394,88,sen2kbrn,17
Didaskalos,Didaskalosom,1480615333,29,"Docente de Teología, Servidor de Jesus",17
иιυ ∞,Purple_JD,1059727934,24,Pies para qué los quiero si tengo alas para volar.,17
SofiC,Shofi9,69164068,151,Desordenando átomos para seguir escribiendo.,17
Semillita/ clau🌱🏳️💖,clau_gnzalez89,1108605510729809920,161,"Alba Reche, eres dueña de mi corazón 💜
MEDUSA. CARONTE. QUIMERA 💖💖😍💔POR FIN 041019, 181019,251019",17
