,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Processed
10,10,0.0,0.9989,"extranjeros, migracion, ciudad, procedimiento, persona, necesitar, peru, proceso, llegar, lima",presencia estos extranjeros buscan trabajo necesitan cubrir sus necesidades básicas ciudad,"['presencia', 'extranjeros', 'buscar', 'trabajo', 'necesitar', 'cubrir', 'necesidad', 'basicas', 'ciudad']"
11,11,0.0,0.9991,"extranjeros, migracion, ciudad, procedimiento, persona, necesitar, peru, proceso, llegar, lima",no deben quedar al margen trata extranjeros llegan para vivir lima también pueden contribuir propiciar,"['no_deben', 'quedar', 'margen', 'trata', 'extranjeros', 'llegar', 'vivir', 'lima', 'pueden', 'contribuir', 'propiciar']"
12,12,0.0,0.9991,"extranjeros, migracion, ciudad, procedimiento, persona, necesitar, peru, proceso, llegar, lima",más altas tasa crecimiento poblacional debido constante migración personas sobre todo del departamento puno llegan,"['alto', 'tasa', 'crecimiento', 'poblacional', 'debido', 'constante', 'migracion', 'persona', 'departamento', 'puno', 'llegar']"
13,13,1.0,0.9992,"extranjeros, migracion, ciudadano, zona, ano, incremento, inseguridad, lima, generar, distorsionar",servicio policial servicio patrullaje incremento ciudadanos extranjeros vienen distorsionando generando inseguridad ciudad incrementar,"['servicio', 'policial', 'servicio', 'patrullaje', 'incremento', 'ciudadano', 'extranjeros', 'venir', 'distorsionar', 'generar', 'inseguridad', 'ciudad', 'incrementar']"
14,14,1.0,0.9988,"extranjeros, migracion, ciudadano, zona, ano, incremento, inseguridad, lima, generar, distorsionar",prevenir inseguridad generada por extranjeros adecuada capacitación colaboración con pnp para,"['prevenir', 'inseguridad', 'generado', 'extranjeros', 'adecuado', 'capacitacion', 'colaboracion', 'pnp']"
15,15,1.0,0.9992,"extranjeros, migracion, ciudadano, zona, ano, incremento, inseguridad, lima, generar, distorsionar",otro punto importante es gran incremento ciudadanos extranjeros lo viene distorsionando generando una mayor inseguridad poblaci,"['punto', 'importante', 'gran', 'incremento', 'ciudadano', 'extranjeros', 'venir', 'distorsionar', 'generar', 'mayor', 'inseguridad', 'poblaci']"
16,16,0.0,0.9992,"extranjeros, migracion, ciudad, procedimiento, persona, necesitar, peru, proceso, llegar, lima",restrinja fiscalice administración locales restobar juegos lavaderos otros por ciudadanos extranjeros condición ilegal transportecomunicaciones mejorará incrementará,"['restringir', 'fiscalizar', 'administracion', 'local', 'restobar', 'juego', 'lavadero', 'ciudadano', 'extranjeros', 'condicion', 'ilegal', 'mejorar', 'incrementar']"
17,17,1.0,0.999,"extranjeros, migracion, ciudadano, zona, ano, incremento, inseguridad, lima, generar, distorsionar",trujillo ocasionada por explosión demográfica movimiento migratorio últimos años han puesto evidencia,"['trujillo', 'ocasionado', 'explosion', 'demografica', 'movimiento', 'migratorio', 'ultimos', 'ano', 'puesto', 'evidencia']"
18,18,0.0,0.9991,"extranjeros, migracion, ciudad, procedimiento, persona, necesitar, peru, proceso, llegar, lima",procedimientos para formalizar procedimiento para sancionarlos infractores migración ciudad genera caos desarrollo urbano algunas,"['procedimiento', 'formalizar', 'procedimiento', 'sancionarlos', 'infractores', 'migracion', 'ciudad', 'generar', 'caos', 'desarrollo', 'urbano']"
19,19,1.0,0.9989,"extranjeros, migracion, ciudadano, zona, ano, incremento, inseguridad, lima, generar, distorsionar",migración bandas delincuenciales organizadas venta consumo drogas etc este clima,"['migracion', 'banda', 'delincuencial', 'organizado', 'venta', 'consumo', 'droga', 'etc', 'clima']"
20,20,1.0,0.999,"extranjeros, migracion, ciudadano, zona, ano, incremento, inseguridad, lima, generar, distorsionar",envejecimiento población incremento migración mayor urbanización otros factores seguramente incrementarán impacto,"['envejecimiento', 'poblacion', 'incremento', 'migracion', 'mayor', 'urbanizacion', 'factor', 'seguramente', 'incrementar', 'impacto']"
21,21,1.0,0.9986,"extranjeros, migracion, ciudadano, zona, ano, incremento, inseguridad, lima, generar, distorsionar",migración interna migración neta anual tasa migración,"['migracion', 'interna', 'migracion', 'neto', 'anual', 'tasa', 'migracion']"
